scenario,day,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
12,9,4.467383,4.3928623,4.3213925,4.336013,4.297501,4.206788,4.266543,4.281282,4.4012346,4.547713,4.5995216,4.900554,4.8534384
12,10,4.4896054,4.4304905,4.3743877,4.3947916,4.362027,4.2484202,4.273298,4.2924976,4.4404044,4.594229,4.66462,4.950681,4.9013515
13,1,4.455754,4.3850546,4.3173285,4.333986,4.2975535,4.202385,4.2559395,4.2702203,4.39111,4.532902,4.580642,4.867472,4.8140893
13,2,4.4466233,4.3857236,4.327392,4.348451,4.319757,4.23102,4.2725883,4.2810197,4.3962975,4.5360293,4.5928793,4.8804173,4.8354445
13,3,4.4648595,4.402118,4.342233,4.3624563,4.330522,4.2300386,4.269852,4.2849364,4.41433,4.558055,4.613719,4.8961225,4.841308
13,4,4.538069,4.4744253,4.4134545,4.431786,4.398568,4.300906,4.3420672,4.3513174,4.469846,4.6068807,4.658435,4.9289036,4.8898716
13,5,4.523425,4.4669075,4.412632,4.437006,4.413295,4.3309746,4.3800144,4.38783,4.4944787,4.620018,4.660607,4.9188976,4.8669963
13,6,4.525022,4.4765973,4.429673,4.460946,4.450388,4.399293,4.4627376,4.462846,4.5414066,4.6513653,4.681116,4.9357443,4.880162
13,7,4.47059,4.427094,4.3847656,4.4177084,4.4108915,4.365363,4.4351063,4.4368734,4.515514,4.618934,4.644721,4.87597,4.8331084
13,8,4.4271164,4.3882585,4.3504953,4.3854613,4.3811545,4.332126,4.3938465,4.3959785,4.4793487,4.583224,4.6128044,4.8395233,4.795952
13,9,4.404196,4.3628387,4.3226495,4.356078,4.349388,4.2982316,4.3630877,4.3661795,4.450286,4.5534177,4.5798,4.80189,4.7597775
13,10,4.400738,4.357293,4.31506,4.347598,4.3398,4.289919,4.352967,4.352415,4.43035,4.5339427,4.5611906,4.793124,4.7500844
14,1,4.489662,4.4227324,4.358738,4.378439,4.345473,4.249708,4.301554,4.318554,4.44353,4.5841274,4.6298404,4.9122267,4.846541
14,2,4.4778237,4.4055805,4.3362727,4.3525453,4.315731,4.2239156,4.294342,4.3159947,4.4420075,4.5798216,4.617266,4.8848977,4.832344
14,3,4.4042974,4.338551,4.275668,4.2928257,4.256861,4.152901,4.202134,4.220938,4.354697,4.4947968,4.543365,4.8026156,4.7615795
14,4,4.4474134,4.3771873,4.3099966,4.3249574,4.2849817,4.176447,4.2357244,4.260305,4.4002705,4.5387707,4.578244,4.823681,4.7797375
14,5,4.4316173,4.3669996,4.305237,4.322692,4.2863812,4.1772394,4.2300024,4.2536216,4.394584,4.5305524,4.571637,4.807935,4.765539
14,6,4.361216,4.305409,4.251942,4.2738214,4.246258,4.1515245,4.19969,4.215872,4.343608,4.47452,4.5211353,4.759503,4.727262
14,7,4.31838,4.2610025,4.2062526,4.225703,4.1929593,4.081277,4.1167316,4.134497,4.2743387,4.410773,4.4628773,4.6985455,4.6681805
14,8,4.412172,4.3536654,4.297674,4.317422,4.285959,4.183106,4.230152,4.2486534,4.3827763,4.515433,4.5612345,4.7942147,4.763372
14,9,4.3750734,4.3239226,4.2752123,4.300815,4.2765217,4.174633,4.2086763,4.2254148,4.3591413,4.4926963,4.54287,4.7883754,4.7348957
14,10,4.3666115,4.3084846,4.2530823,4.2781353,4.252185,4.1561,4.1942234,4.2081413,4.3314724,4.4687986,4.5166965,4.7963166,4.7186484
15,1,4.458584,4.3856277,4.3158855,4.331007,4.290965,4.185452,4.231123,4.2457056,4.37205,4.517436,4.5673027,4.8576446,4.799346
15,2,4.475631,4.400974,4.3296156,4.344632,4.303773,4.1970778,4.2424164,4.256017,4.3794866,4.5236006,4.5697,4.862357,4.795262
15,3,4.5480003,4.470357,4.396195,4.4090705,4.364475,4.2512646,4.297281,4.313936,4.4443994,4.5915422,4.637997,4.9286704,4.8633666
15,4,4.580288,4.5049686,4.4329753,4.4476404,4.405887,4.2968316,4.342607,4.3564353,4.479827,4.6217217,4.663932,4.949774,4.8807154
15,5,4.5468082,4.466455,4.3896995,4.400593,4.3532786,4.2378654,4.2786074,4.2917757,4.419605,4.5706105,4.6226387,4.9267406,4.8655496
15,6,4.576406,4.4959736,4.419007,4.4305058,4.38438,4.2732344,4.313368,4.3200827,4.4337325,4.576903,4.621258,4.9216022,4.8559256
15,7,4.6271114,4.543864,4.464006,4.47374,4.4266114,4.3233314,4.373623,4.379783,4.4881606,4.630831,4.674392,4.977357,4.9228444
15,8,4.6684265,4.574875,4.484841,4.4903574,4.4382215,4.345229,4.420944,4.4301367,4.5313134,4.672226,4.704364,5.011059,4.9584613
15,9,4.657444,4.572073,4.4900746,4.4985747,4.4503813,4.351077,4.4132733,4.423581,4.5346284,4.6771197,4.717615,5.014655,4.966801
15,10,4.6715436,4.5914536,4.514567,4.525388,4.4812093,4.384545,4.4377694,4.445052,4.5550675,4.699628,4.7491894,5.0539103,5.0105343
16,1,4.3697352,4.3002205,4.2337117,4.251364,4.215852,4.118977,4.165971,4.1784697,4.2986298,4.441745,4.49218,4.7861485,4.726576
16,2,4.404794,4.3379345,4.274106,4.2930593,4.2586484,4.1572094,4.19996,4.215357,4.343235,4.4880304,4.540602,4.8304634,4.767341
16,3,4.4096293,4.336097,4.26584,4.2810535,4.24082,4.134743,4.178973,4.1933427,4.319695,4.4665704,4.5174613,4.813805,4.751199
16,4,4.470394,4.4137545,4.358918,4.387833,4.3722672,4.318788,4.3994184,4.4064603,4.487686,4.5944543,4.6073666,4.8527846,4.7795534
16,5,4.310125,4.2479324,4.187803,4.213058,4.191483,4.1301703,4.2168994,4.229502,4.3204193,4.430334,4.440767,4.6796556,4.6102924
16,6,4.3439865,4.2908263,4.23914,4.2695966,4.258077,4.2152576,4.3042073,4.3108983,4.386885,4.4884157,4.49889,4.7333884,4.6713195
16,7,4.3521442,4.2997694,4.2488832,4.280702,4.2705727,4.228024,4.313516,4.3184566,4.391212,4.491797,4.5010376,4.740511,4.6682334
16,8,4.3730397,4.318483,4.265752,4.297885,4.285772,4.234005,4.3147826,4.3237286,4.405305,4.5108852,4.5197363,4.7687135,4.674944
16,9,4.418409,4.3611317,4.3058057,4.337042,4.323016,4.269055,4.348029,4.3550534,4.433267,4.538836,4.545615,4.800518,4.6998796
16,10,4.418526,4.362006,4.3073373,4.3386188,4.3250985,4.272758,4.3561087,4.3642263,4.4424033,4.544784,4.5480323,4.7916226,4.695887
17,1,4.3966894,4.331988,4.2699885,4.2899766,4.2592564,4.1708355,4.2176495,4.2270036,4.340595,4.4801717,4.532331,4.8236923,4.7712107
17,2,4.4047184,4.337462,4.27305,4.29225,4.2597675,4.1692286,4.2140913,4.2222695,4.3342056,4.47536,4.5272946,4.8273916,4.7680745
17,3,4.3877563,4.3257933,4.266599,4.288471,4.259024,4.163963,4.2015843,4.2114553,4.3295836,4.4696426,4.5224705,4.8125157,4.7483964
17,4,4.404106,4.3386865,4.2761483,4.295235,4.26193,4.16322,4.198406,4.2059255,4.322557,4.464501,4.519566,4.813731,4.7570233
17,5,4.39893,4.3424344,4.2884536,4.3122296,4.286476,4.1936274,4.2204423,4.223706,4.3347073,4.4719467,4.5299435,4.8188615,4.7629533
17,6,4.418456,4.3714676,4.3262415,4.35745,4.345293,4.2811885,4.3210616,4.318155,4.4047527,4.526042,4.572876,4.85196,4.7919927
17,7,4.4070425,4.361117,4.3168426,4.3483944,4.337342,4.2763314,4.3191986,4.3162236,4.401151,4.520185,4.565545,4.838893,4.783455
17,8,4.4551044,4.4093003,4.3651495,4.395124,4.381931,4.3152094,4.354585,4.351665,4.440558,4.559734,4.6069994,4.870487,4.826492
17,9,4.466652,4.41484,4.364981,4.3910017,4.3715377,4.2969213,4.330899,4.3260326,4.4162126,4.541497,4.5938005,4.8714275,4.8304224
17,10,4.459766,4.40858,4.3592796,4.3869743,4.36972,4.299557,4.3392396,4.3352485,4.4218793,4.542831,4.5879254,4.86091,4.8100257
18,1,4.3926687,4.315819,4.242346,4.2549267,4.2106833,4.0990148,4.138666,4.1490088,4.2710133,4.4164824,4.4657335,4.760287,4.7018566
18,2,4.3926697,4.3164353,4.243587,4.2563453,4.2121854,4.0989027,4.1356697,4.145611,4.2684255,4.414416,4.464988,4.7600017,4.7012672
